Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop
USA,105396817,,1146740.0,,102864696.0,,1385381.0,2726.0,314800.0,3425.0
India,44688101,,530775.0,,44154425.0,,2901.0,,31770.0,377.0
France,39638159,,165030.0,,39400459.0,706.0,72670.0,869.0,604383.0,2516.0
Germany,38210850,,168397.0,,37767300.0,17500.0,275153.0,,455522.0,2008.0
Brazil,37076053,,699276.0,,36249161.0,,127616.0,,172164.0,3247.0
Japan,33264491,4263.0,72805.0,34.0,21694886.0,1551.0,11496800.0,131.0,264877.0,580.0
S. Korea,30569215,4300.0,34034.0,9.0,30363195.0,,171986.0,145.0,595544.0,663.0
Italy,25603510,,188322.0,,25267118.0,,148070.0,137.0,424864.0,3125.0
UK,24370154,,206952.0,,24106232.0,3964.0,56970.0,,355780.0,3021.0
Russia,22353291,11163.0,396336.0,38.0,21686422.0,9166.0,270533.0,,153308.0,2718.0
Turkey,17042722,,101492.0,,,,,,199186.0,1186.0
Spain,13770429,,119479.0,,13615878.0,,35072.0,231.0,294749.0,2557.0
Vietnam,11526966,,43186.0,,10614790.0,,868990.0,3.0,116489.0,436.0
Australia,11385534,,19459.0,,11332576.0,,33499.0,27.0,436750.0,746.0
Taiwan,10112117,7080.0,18248.0,45.0,9824044.0,20441.0,269825.0,,423303.0,764.0
Argentina,10044125,,130463.0,,9909866.0,,3796.0,363.0,218302.0,2836.0
Netherlands,8598182,,22992.0,,8560677.0,381.0,14513.0,53.0,499562.0,1336.0
Iran,7570743,511.0,144902.0,9.0,7339796.0,92.0,86045.0,354.0,88009.0,1684.0
Mexico,7470653,525.0,333100.0,4.0,6706771.0,2912.0,430782.0,,56784.0,2532.0
Indonesia,6737303,144.0,160932.0,2.0,6573403.0,218.0,2968.0,,24136.0,577.0
Poland,6432765,450.0,118952.0,,5335940.0,,977873.0,696.0,170450.0,3152.0
Colombia,6360089,,142629.0,,6183658.0,,33802.0,342.0,123466.0,2769.0
Austria,5940935,,21922.0,,5859818.0,,59195.0,72.0,655247.0,2418.0
Greece,5871458,,36185.0,,5816944.0,2619.0,18329.0,115.0,569125.0,3507.0
Portugal,5568084,,26180.0,,5538074.0,,3830.0,61.0,549090.0,2582.0
Ukraine,5389439,,111235.0,,5265577.0,,12627.0,,124778.0,2575.0
Chile,5180329,,64230.0,,5108603.0,,7496.0,83.0,269105.0,3337.0
Malaysia,5043790,,36966.0,,4997620.0,,9204.0,4.0,152008.0,1114.0
Israel,4801511,,12307.0,,4781252.0,,7952.0,57.0,514852.0,1320.0
DPRK,4772813,,74.0,,4772739.0,,0.0,,183636.0,3.0
Thailand,4728182,147.0,33918.0,7.0,4692636.0,,1628.0,,67470.0,484.0
Belgium,4727795,,33775.0,,4662420.0,792.0,31600.0,43.0,405184.0,2895.0
Czechia,4614143,119.0,42470.0,,4563807.0,1037.0,7866.0,42.0,429751.0,3956.0
Canada,4591149,,51249.0,,4508184.0,1530.0,31716.0,99.0,119597.0,1335.0
Peru,4486832,,219493.0,,4265276.0,,2063.0,33.0,133203.0,6516.0
Switzerland,4391007,,14452.0,,4373026.0,,3529.0,39.0,500477.0,1647.0
Philippines,4077109,117.0,66160.0,7.0,4002009.0,103.0,8940.0,162.0,36238.0,588.0
South Africa,4064889,,102595.0,,3912506.0,,49788.0,192.0,66905.0,1689.0
Romania,3346046,5704.0,67736.0,32.0,3263301.0,,15009.0,119.0,175818.0,3559.0
Denmark,3175554,45.0,8284.0,3.0,3166397.0,54.0,873.0,19.0,544230.0,1420.0
Hong Kong,2883700,,13463.0,,2859360.0,,10877.0,28.0,379220.0,1770.0
Sweden,2698535,,23703.0,,2671785.0,184.0,3047.0,8.0,264071.0,2320.0
Serbia,2496295,,17855.0,,2464235.0,,14205.0,15.0,288488.0,2063.0
Iraq,2465545,,25375.0,,2439497.0,,673.0,21.0,58474.0,602.0
Singapore,2230570,,1722.0,,2149583.0,,79265.0,1.0,375293.0,290.0
New Zealand,2228291,1634.0,3922.0,3.0,2214316.0,1280.0,10053.0,,454920.0,801.0
Hungary,2195926,,48751.0,,2143184.0,,3991.0,13.0,228593.0,5075.0
Bangladesh,2037829,,29445.0,,1998448.0,,9936.0,,12138.0,175.0
Slovakia,1863419,21.0,21031.0,1.0,1841122.0,12.0,1266.0,20.0,341273.0,3852.0
Georgia,1825598,,16965.0,,1776548.0,,32085.0,,459995.0,4275.0
Jordan,1746997,,14122.0,,1731007.0,,1868.0,59.0,169597.0,1371.0
Ireland,1703850,,8691.0,,1692863.0,11.0,2296.0,10.0,339399.0,1731.0
Pakistan,1577214,50.0,30643.0,,1538689.0,,7882.0,7.0,6873.0,134.0
Norway,1479259,,5213.0,,1473371.0,,675.0,20.0,268401.0,946.0
Finland,1462976,,8936.0,,1452239.0,72.0,1801.0,21.0,263364.0,1609.0
Kazakhstan,1408124,,13846.0,,1383020.0,,11258.0,24.0,73321.0,721.0
Slovenia,1329966,89.0,7074.0,,1318457.0,,4435.0,8.0,640012.0,3404.0
Lithuania,1306368,41.0,9594.0,,1291050.0,589.0,5724.0,7.0,490801.0,3604.0
Bulgaria,1297062,,38219.0,,1255863.0,,2980.0,24.0,189502.0,5584.0
Morocco,1272487,,16296.0,,1256141.0,,50.0,3.0,33688.0,431.0
Croatia,1269326,334.0,17987.0,16.0,1250890.0,341.0,449.0,5.0,312697.0,4431.0
Guatemala,1237564,,20178.0,,1216320.0,,1066.0,5.0,66593.0,1086.0
Lebanon,1232517,,10840.0,,1087587.0,,134090.0,74.0,184375.0,1622.0
Costa Rica,1204164,,9230.0,,860711.0,,334223.0,52.0,232358.0,1781.0
Bolivia,1193908,,22365.0,,1159036.0,,12507.0,220.0,99553.0,1865.0
Tunisia,1150962,,29331.0,,,,,44.0,95542.0,2435.0
Cuba,1112625,,8530.0,,1104008.0,,87.0,2.0,98413.0,754.0
Ecuador,1057121,,36014.0,,1020564.0,,543.0,759.0,58361.0,1988.0
UAE,1052664,145.0,2349.0,,1035572.0,65.0,14743.0,,104412.0,233.0
Uruguay,1034303,,7617.0,,1026186.0,,500.0,18.0,295852.0,2179.0
Panama,1031273,,8604.0,,1022299.0,,370.0,16.0,231905.0,1935.0
Mongolia,1007897,,2179.0,,1005716.0,,2.0,192.0,298364.0,645.0
Nepal,1001149,,12020.0,,989124.0,1.0,5.0,,33123.0,398.0
Belarus,994037,,7118.0,,985592.0,,1327.0,,105381.0,755.0
Latvia,976162,13.0,6245.0,,969563.0,12.0,354.0,13.0,527987.0,3378.0
Saudi Arabia,829882,98.0,9617.0,,817003.0,65.0,3262.0,37.0,23152.0,268.0
Azerbaijan,828730,9.0,10129.0,,818386.0,3.0,215.0,,80458.0,983.0
Paraguay,808401,,19878.0,,,,,7.0,110651.0,2721.0
Bahrain,709230,,1552.0,,706013.0,,1665.0,5.0,397554.0,870.0
Sri Lanka,672034,,16830.0,,655202.0,,2.0,,31148.0,780.0
Kuwait,663456,,2570.0,,660237.0,,649.0,,151463.0,587.0
Dominican Republic,660705,,4384.0,,644785.0,,11536.0,4.0,59758.0,397.0
Cyprus,650685,,1330.0,,644185.0,,5170.0,60.0,531872.0,1087.0
Myanmar,633946,,19490.0,,614410.0,,46.0,,11479.0,353.0
Palestine,621008,,5404.0,,615445.0,,159.0,17.0,116173.0,1011.0
Estonia,615119,,2940.0,,524990.0,,87189.0,3.0,465326.0,2224.0
Moldova,607450,,11988.0,,504142.0,,91320.0,49.0,151364.0,2987.0
Venezuela,552125,,5854.0,,545917.0,,354.0,36.0,18865.0,200.0
Egypt,515698,,24613.0,,442182.0,,48903.0,122.0,4858.0,232.0
Libya,507187,13.0,6437.0,,500737.0,3.0,13.0,,72036.0,914.0
Ethiopia,500050,,7572.0,,487301.0,,5177.0,1.0,4139.0,63.0
Qatar,494737,124.0,688.0,1.0,493640.0,205.0,409.0,36.0,166024.0,231.0
Réunion,486588,,921.0,,418572.0,,67095.0,10.0,535854.0,1014.0
Honduras,472219,,11111.0,,,,,105.0,46200.0,1087.0
Armenia,446819,,8721.0,,435162.0,,2936.0,,150345.0,2934.0
Bosnia and Herzegovina,401636,,16279.0,,379084.0,,6273.0,,123606.0,5010.0
Oman,399449,,4628.0,,384669.0,,10152.0,2.0,75028.0,869.0
North Macedonia,346852,,9662.0,,337068.0,,122.0,,166651.0,4642.0
Zambia,343135,,4057.0,,338854.0,,224.0,,17624.0,208.0
Kenya,342919,,5688.0,,337216.0,,15.0,1.0,6100.0,101.0
