Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,"105,920,573",,"1,151,279",,"103,493,314",,"1,275,980","2,247","316,365","3,439","1,170,015,161","3,494,614","334,805,269",North America,3,291,0,,,"3,811"
India,"44,695,420",,"530,802",,"44,158,703",,"5,915",N/A,"31,775",377,"920,111,661","654,124","1,406,631,776",Asia,31,"2,650",2,,,4
France,"39,697,820",,"165,314",,"39,450,425",,"82,081",869,"605,293","2,521","271,490,188","4,139,547","65,584,518",Europe,2,397,0,,,"1,252"
Germany,"38,297,037",,"169,661",,"37,934,100",,"193,276",N/A,"456,550","2,023","122,332,384","1,458,359","83,883,596",Europe,2,494,1,,,"2,304"
Brazil,"37,145,514",,"699,634",,"36,249,161",,"196,719",N/A,"172,486","3,249","63,776,166","296,146","215,353,593",South America,6,308,3,,,913
Japan,"33,368,365",,"73,477",,"21,708,854",,"11,586,034",86,"265,704",585,"96,765,558","770,519","125,584,838",Asia,4,"1,709",1,,,"92,257"
S. Korea,"30,690,223",,"34,159",,"30,491,853","+12,287","164,211",129,"597,901",665,"15,804,065","307,892","51,329,899",Asia,2,"1,503",3,,,"3,199"
Italy,"25,651,205",,"188,750",,"25,320,467",,"141,988",104,"425,656","3,132","269,127,054","4,465,893","60,262,770",Europe,2,319,0,,,"2,356"
UK,"24,423,396",,"208,458",,"24,153,182","+3,674","61,756",N/A,"356,557","3,043","522,526,476","7,628,357","68,497,907",Europe,3,329,0,,,902
Russia,"22,493,866",,"396,801",,"21,841,765",,"255,300",N/A,"154,273","2,721","273,400,000","1,875,095","145,805,947",Europe,6,367,1,,,"1,751"
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia,5,843,1,,,"1,819"
Spain,"13,783,163",,"119,872",,"13,632,061",,"31,230",231,"295,022","2,566","471,036,328","10,082,298","46,719,142",Europe,3,390,0,,,668
Vietnam,"11,527,116",,"43,186",,"10,614,847",,"869,083",5,"116,490",436,"85,826,548","867,342","98,953,541",Asia,9,"2,291",1,,,"8,783"
Australia,"11,277,613",,"19,690",,"11,237,319",,"20,604",27,"432,610",755,"78,835,048","3,024,116","26,068,792",Australia/Oceania,2,"1,324",0,,,790
Taiwan,"10,222,922",,"18,732",,"10,006,631",,"197,559",,"427,942",784,"30,742,304","1,286,903","23,888,595",Asia,2,"1,275",1,,,"8,270"
Argentina,"10,044,957",,"130,472",,"9,912,836",,"1,649",363,"218,320","2,836","35,716,069","776,264","46,010,234",South America,5,353,1,,,36
Netherlands,"8,605,996",,"22,992",,"8,566,167",+604,"16,837",53,"500,016","1,336","25,984,435","1,509,718","17,211,447",Europe,2,749,1,,,978
Iran,"7,575,927",,"144,993",,"7,340,279",,"90,655",407,"88,069","1,686","55,353,767","643,478","86,022,837",Asia,11,593,2,,,"1,054"
Mexico,"7,507,743",,"333,310",,"6,740,445",,"433,988",N/A,"57,066","2,533","19,709,333","149,809","131,562,772",North America,18,395,7,,,"3,299"
Indonesia,"6,741,082",,"160,969",,"6,576,336",,"3,777",N/A,"24,150",577,"114,158,919","408,975","279,134,505",Asia,41,"1,734",2,,,14
Poland,"6,472,579",,"119,136",,"5,335,940",,"1,017,503",696,"171,505","3,157","38,431,068","1,018,317","37,739,785",Europe,6,317,1,,,"26,961"
Colombia,"6,361,293",,"142,652",,"6,184,855",,"33,786",342,"123,490","2,769","36,951,507","717,327","51,512,762",South America,8,361,1,,,656
Austria,"5,999,194",,"22,042",,"5,930,771",,"46,381",78,"661,673","2,431","211,273,524","23,302,116","9,066,710",Europe,2,411,0,,,"5,116"
Greece,"5,910,103",,"36,372",,"5,856,797","+3,618","16,934",115,"572,871","3,526","102,228,365","9,909,078","10,316,637",Europe,2,284,0,,,"1,641"
Portugal,"5,571,882",,"26,302",,"5,540,406",,"5,174",61,"549,464","2,594","46,012,446","4,537,462","10,140,570",Europe,2,386,0,,,510
Ukraine,"5,427,360",,"111,457",,"5,277,982",,"37,921",,"125,656","2,580","32,603,805","754,855","43,192,122",Europe,8,388,1,,,878
Chile,"5,227,433",,"64,379",,"5,150,458",,"12,596",84,"271,552","3,344","48,766,919","2,533,321","19,250,195",South America,4,299,0,,,654
Malaysia,"5,045,192",,"36,967",,"4,998,845",,"9,380",5,"152,050","1,114","68,309,333","2,058,684","33,181,072",Asia,7,898,0,,,283
Israel,"4,808,152",,"12,349",,"4,781,252",,"14,551",57,"515,564","1,324","41,373,364","4,436,346","9,326,000",Asia,2,755,0,,,"1,560"
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia,5,"351,225",,,,
Belgium,"4,757,448",,"33,885",,"4,674,388","+1,046","49,175",43,"407,725","2,904","36,842,747","3,157,514","11,668,278",Europe,2,344,0,,,"4,214"
Thailand,"4,728,304",,"33,924",,"4,692,636",,"1,744",N/A,"67,472",484,"17,270,775","246,450","70,078,203",Asia,15,"2,066",4,,,25
Czechia,"4,625,920",,"42,558",,"4,573,938",,"9,424",46,"430,848","3,964","57,072,375","5,315,593","10,736,784",Europe,2,252,0,,,878
Canada,"4,609,277",,"51,624",,"4,527,079","+1,530","30,574",99,"120,069","1,345","66,343,123","1,728,207","38,388,419",North America,8,744,1,,,796
Peru,"4,489,377",,"219,648",,"4,267,184",,"2,545",39,"133,278","6,521","38,202,964","1,134,151","33,684,208",South America,8,153,1,,,76
Switzerland,"4,394,296",,"14,452",,"4,373,995",,"5,849",39,"500,852","1,647","23,833,472","2,716,487","8,773,637",Europe,2,607,0,,,667
