Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,"106,090,168",,"1,153,587",,"103,772,524",,"1,164,057","2,148","316,871","3,446","1,172,066,373","3,500,741","334,805,269",North America,3,290,0,,,"3,477"
India,"44,704,147",,"530,831",,"44,163,883",,"9,433",N/A,"31,781",377,"920,862,639","654,658","1,406,631,776",Asia,31,"2,650",2,,,7
France,"39,752,553",,"165,469",,"39,472,690",,"114,394",869,"606,127","2,523","271,490,188","4,139,547","65,584,518",Europe,2,396,0,,,"1,744"
Germany,"38,330,941",,"170,331",,"38,017,200","+2,000","143,410",N/A,"456,954","2,031","122,332,384","1,458,359","83,883,596",Europe,2,492,1,,,"1,710"
Brazil,"37,204,677",,"699,917",,"36,249,161",,"255,599",N/A,"172,761","3,250","63,776,166","296,146","215,353,593",South America,6,308,3,,,"1,187"
Japan,"33,421,785","+6,324","73,747",+22,"21,715,481",+600,"11,632,557",59,"266,129",587,"97,273,549","774,564","125,584,838",Asia,4,"1,703",1,50,0.2,"92,627"
S. Korea,"30,759,895",,"34,217",,"30,560,080","+12,792","165,598",153,"599,259",667,"15,804,065","307,892","51,329,899",Asia,2,"1,500",3,,,"3,226"
Italy,"25,673,442",,"188,933",,"25,345,910",,"138,599",105,"426,025","3,135","269,569,208","4,473,230","60,262,770",Europe,2,319,0,,,"2,300"
UK,"24,448,729",,"209,396",,"24,178,746","+3,104","60,587",N/A,"356,927","3,057","522,526,476","7,628,357","68,497,907",Europe,3,327,0,,,885
Russia,"22,586,210","+10,940","397,078",+32,"21,938,293","+9,899","250,839",N/A,"154,906","2,723","273,400,000","1,875,095","145,805,947",Europe,6,367,1,75,0.2,"1,720"
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia,5,843,1,,,"1,819"
Spain,"13,790,580",,"120,170",,"13,638,948",,"31,462",231,"295,181","2,572","471,036,328","10,082,298","46,719,142",Europe,3,389,0,,,673
Vietnam,"11,527,210",+7,"43,186",,"10,614,899",,"869,125",1,"116,491",436,"85,826,548","867,342","98,953,541",Asia,9,"2,291",1,0.07,,"8,783"
Australia,"11,301,219",,"19,760",,"11,259,555",,"21,904",35,"433,515",758,"78,835,048","3,024,116","26,068,792",Australia/Oceania,2,"1,319",0,,,840
Taiwan,"10,239,998",+4,"18,985",+29,"10,093,163","+7,057","127,850",,"428,656",795,"30,742,304","1,286,903","23,888,595",Asia,2,"1,258",1,0.2,1,"5,352"
Argentina,"10,044,957",,"130,472",,"9,913,653",,832,363,"218,320","2,836","35,716,069","776,264","46,010,234",South America,5,353,1,,,18
Netherlands,"8,608,123",,"22,992",,"8,569,350",+297,"15,781",53,"500,139","1,336","25,984,435","1,509,718","17,211,447",Europe,2,749,1,,,917
Iran,"7,580,858",,"145,091",,"7,342,490",,"93,277",407,"88,126","1,687","55,353,767","643,478","86,022,837",Asia,11,593,2,,,"1,084"
Mexico,"7,526,949",,"333,443",,"6,762,899",,"430,607",N/A,"57,212","2,534","19,719,919","149,890","131,562,772",North America,17,395,7,,,"3,273"
Indonesia,"6,744,033",+426,"160,994",,"6,578,507",+246,"4,532",N/A,"24,161",577,"114,158,919","408,975","279,134,505",Asia,41,"1,734",2,2,,16
Poland,"6,488,375",+303,"119,245",+1,"5,335,940",,"1,033,190",696,"171,924","3,160","38,491,001","1,019,905","37,739,785",Europe,6,316,1,8,0.03,"27,377"
Colombia,"6,361,810",,"142,665",,"6,185,327",,"33,818",342,"123,500","2,770","36,951,507","717,327","51,512,762",South America,8,361,1,,,656
Austria,"6,021,769",,"22,082",,"5,961,775",,"37,912",55,"664,163","2,436","211,273,524","23,302,116","9,066,710",Europe,2,411,0,,,"4,181"
Greece,"5,920,428",,"36,447",,"5,871,754","+1,902","12,227",115,"573,872","3,533","102,228,365","9,909,078","10,316,637",Europe,2,283,0,,,"1,185"
Portugal,"5,573,509",,"26,362",,"5,541,722",,"5,425",61,"549,625","2,600","46,026,082","4,538,806","10,140,570",Europe,2,385,0,,,535
Ukraine,"5,427,360",,"111,457",,"5,287,774",,"28,129",,"125,656","2,580","32,603,805","754,855","43,192,122",Europe,8,388,1,,,651
Chile,"5,250,077",,"64,482",,"5,175,993",,"9,602",72,"272,729","3,350","48,922,503","2,541,403","19,250,195",South America,4,299,0,,,499
Malaysia,"5,047,040",,"36,972",,"5,000,411",,"9,657",5,"152,106","1,114","68,319,184","2,058,981","33,181,072",Asia,7,897,0,,,291
Israel,"4,810,698",,"12,372",,"4,781,252",,"17,074",57,"515,837","1,327","41,373,364","4,436,346","9,326,000",Asia,2,754,0,,,"1,831"
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia,5,"351,225",,,,
Belgium,"4,767,730",,"33,982",,"4,683,673","+1,340","50,075",43,"408,606","2,912","36,883,174","3,160,978","11,668,278",Europe,2,343,0,,,"4,292"
Thailand,"4,728,482",,"33,929",,"4,692,636",,"1,917",N/A,"67,474",484,"17,270,775","246,450","70,078,203",Asia,15,"2,065",4,,,27
Czechia,"4,630,702",+82,"42,621",,"4,580,606",+878,"7,475",30,"431,293","3,970","57,097,260","5,317,911","10,736,784",Europe,2,252,0,8,,696
Canada,"4,618,059",,"51,800",,"4,536,667","+1,341","29,592",99,"120,298","1,349","66,343,123","1,728,207","38,388,419",North America,8,741,1,,,771
Peru,"4,491,136",,"219,712",,"4,268,427",,"2,997",36,"133,331","6,523","38,267,891","1,136,078","33,684,208",South America,8,153,1,,,89
Switzerland,"4,396,055",,"14,452",,"4,375,203",,"6,400",39,"501,053","1,647","23,833,472","2,716,487","8,773,637",Europe,2,607,0,,,729
Philippines,"4,079,992",,"66,322",,"4,005,074",,"8,596",162,"36,264",589,"34,785,002","309,175","112,508,994",Asia,28,"1,696",3,,,76
South Africa,"4,072,294",,"102,595",,"3,912,506",,"57,193",192,"67,027","1,689","26,795,090","441,027","60,756,135",Africa,15,592,2,,,941
Romania,"3,359,839",,"67,821",,"3,278,225",,"13,793",142,"176,542","3,564","26,905,492","1,413,747","19,031,335",Europe,6,281,1,,,725
Denmark,"3,177,625",,"8,352",,"3,167,610",,"1,663",19,"544,585","1,431","129,231,006","22,147,749","5,834,950",Europe,2,699,0,,,285
Hong Kong,"2,884,483",,"13,474",,"2,868,491",,"2,518",28,"379,323","1,772","76,127,725","10,011,143","7,604,299",Asia,3,564,0,,,331
Sweden,"2,701,192",,"23,823",,"2,674,144",+91,"3,225",8,"264,331","2,331","19,500,873","1,908,301","10,218,971",Europe,4,429,1,,,316
Serbia,"2,513,687",,"17,956",,"2,480,359",,"15,372",16,"290,498","2,075","12,581,682","1,454,023","8,653,016",Europe,3,482,1,,,"1,776"
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia,17,"1,662",2,,,16
Singapore,"2,255,812",,"1,722",,"2,149,583",,"104,507",1,"379,540",290,"24,756,666","4,165,302","5,943,546",Asia,3,"3,452",0,,,"17,583"
New Zealand,"2,250,952",,"3,966",,"2,237,216",,"9,770",,"459,546",810,"7,768,604","1,586,011","4,898,203",Australia/Oceania,2,"1,235",1,,,"1,995"
Hungary,"2,198,461",,"48,791",,"2,144,942",,"4,728",13,"228,857","5,079","11,394,556","1,186,160","9,606,259",Europe,4,197,1,,,492
Bangladesh,"2,037,978",,"29,445",,"1,998,448",,"10,085",N/A,"12,139",175,"15,254,399","90,862","167,885,689",Asia,82,"5,702",11,,,60
Slovakia,"1,865,055",+23,"21,083",+3,"1,843,040",+15,932,24,"341,573","3,861","7,415,479","1,358,098","5,460,193",Europe,3,259,1,4,0.5,171
Georgia,"1,831,771",,"17,004",,"1,776,548",,"38,219",,"461,550","4,284","16,920,079","4,263,340","3,968,738",Asia,2,233,0,,,"9,630"
